Name Institution,Land,Country,Kontinent,Continent,Adresse,Anzahl outgoing,Anzahl incoming,,Geocoordinates,Formatted Address
Univerzitet vo Tetovo,Mazedonien,Macedonia,Europa,Europe,"Str. Ilinden, 1200 Tetova, Nord-Mazedonien",2,,,"41.9930334,20.9623326","Street Ilinden bb 1200, Тетово 1220, North Macedonia"
Turku University of Applied Sciences,Finnland,Finland,Europa,Europe,"Joukahaisenkatu 3, 20520 Turku, Finnland",3,,,"60.44882500000001,22.2966101","Joukahaisenkatu 3, 20520 Turku, Finland"
University of Applied Sciences Saxion,Niederlande,Netherlands,Europa,Europe,"M. H. Tromplaan 28, 7513 AB Enschede, Niederlande",2,,,"52.2207287,6.8856883","Maarten Harpertszoon Tromplaan 28, 7513 AB Enschede, Netherlands"
Universidade de Trás-os-Montes e Alto Douro,Portugal,Portugal,Europa,Europe,"Quinta de Prados, 5001-801 Vila Real, Portugal",15,10,,"41.28738,-7.7389388","Quinta de Prados, 5001-801 Vila Real, Portugal"
Slovak University of Technology in Bratislava,Slowakei,Slovakia,Europa,Europe,"Vazovova 5, 811 07 Bratislava, Slowakei",2,2,,"48.1546028,17.1174989","Vazovova 2757/5, 811 07 Bratislava, Slovakia"
Lapland University of Applied Sciences,Finnland,Finland,Europa,Europe,"Jokiväylä 11, 96300 Rovaniemi, Finnland",5,6,,"66.4814313,25.7241388","Jokiväylä 11, 96300 Rovaniemi, Finland"
Vaasa University of Applied Sciences,Finnland,Finland,Europa,Europe,"Wolffintie 30, 65200 Vaasa, Finnland",3,,,"63.1068864,21.5917039","Wolffintie 30, 65200 Vaasa, Finland"
Friedrich-Schiller-Universität Jena,Deutschland,Germany,Europa,Europe,"Fürstengraben 1, 07743 Jena, Deutschland",4,,,"50.929274,11.5900592","Fürstengraben 1, 07743 Jena, Germany"
University of Reykjavik,Island,Iceland,Europa,Europe,"Menntavegur 1, 102, 101 Reykjavík, Island",6,,,"64.1237262,-21.9254355","Háskólinn í Reykjavík, Menntavegur 1, 101 Reykjavík, Iceland"
Lodz University of Technology,Polen,Poland,Europa,Europe,"Stefana Żeromskiego 116, 90-924 Łódź, Polen",1,,,"51.75292289999999,19.4499881","Stefana Żeromskiego 116, 90-001 Łódź, Poland"
Universität Stuttgart,Deutschland,Germany,Europa,Europe,"Keplerstraße 7, 70174 Stuttgart, Deutschland",1,,,"48.78127,9.17489","Keplerstraße 7, 70174 Stuttgart, Germany"
Technische Universität Braunschweig,Deutschland,Germany,Europa,Europe,"Universitätsplatz 2, 38106 Braunschweig, Deutschland",1,,,"52.273506,10.5297099","Universitätspl. 2, 38106 Braunschweig, Germany"
BELS Malta,Malta,Malta,Europa,Europe,"550 East & North Flat 1 & 2, Triq San Geraldu, San Pawl il-Baħar, Malta",1,,,"35.9489601,14.4040876","550 East & North Flat 1 & 2, Triq San Geraldu, San Pawl il-Baħar, Malta"
Université Savoy Mont Blanc,Frankreich,France,Europa,Europe,"27 Rue Marcoz, 73000 Chambéry, Frankreich",1,2,,"45.56677579999999,5.917622","27 Rue Marcoz, 73000 Chambéry, France"
Centre of English Studies Dublin,Irland,Ireland,Europa,Europe,"31 Dame St, Dublin 2, D02 CX73, Irland",12,,,"53.3440689,-6.2635017","31 Dame St, Dublin 2, D02 CX73, Ireland"
Universidad Pública de Navarra,Spanien,Spain,Europa,Europe,"Calle Cataluña, s/n, 31006 Pamplona, Navarra, Spanien",2,,,"42.8034534,-1.6327751","Calle Cataluña, 31006 Pamplona, Navarra, Spain"
Easy School of Languages,Malta,Malta,Europa,Europe,"21, St Ursula Street, Il-Belt Valletta VLT 1230, Malta",1,,,"35.895841,14.512757","21, St Ursula Street, Il-Belt Valletta VLT 1230, Malta"
Mid Sweden University,Schweden,Sweden,Europa,Europe,"Holmgatan, 852 30 Sundsvall, Schweden",3,2,,"62.3935663,17.2832013","Holmgatan, 852 30 Sundsvall, Sweden"
Hochschule Schmalkalden,Deutschland,Germany,Europa,Europe,"Blechhammer 9, 98574 Schmalkalden, Deutschland",,1,,"50.717416,10.463766","Blechhammer 9, 98574 Schmalkalden, Germany"
TU Sofia,Bulgarien,Bulgaria,Europa,Europe,"Bulevard ""Sveti Kliment Ohridski"" 8, 1756 Studentski Kompleks, Sofia, Bulgarien",,2,,"42.6550616,23.3585246","bulevard ""Sveti Kliment Ohridski"" 8, 1756 Studentski Kompleks, Sofia, Bulgaria"
Hochschule Ulm,Deutschland,Germany,Europa,Europe,"Prittwitzstraße 10, 89075 Ulm, Deutschland",,1,,"48.40885000000001,9.997489999999999","Prittwitzstraße 10, 89075 Ulm, Germany"
Hochschule Hannover,Deutschland,Germany,Europa,Europe,"Ricklinger Stadtweg 120, 30459 Hannover, Deutschland",,1,,"52.3544429,9.723168099999999","Ricklinger Stadtweg 120, 30459 Hannover, Germany"
Aarhus School of Marine and Technical Engineering,Dänemark,Denmark,Europa,Europe,"Inge Lehmanns Gade 10, 8000 Aarhus C, Dänemark",,1,,"56.1586902,10.2155391","Inge Lehmanns Gade 10, 8000 Aarhus C, Denmark"
Brno University of Technology,Tschechien,Czech Republic,Europa,Europe,"1 548 Antonínská Brno-střed Brno Česká republika, 601 90, Tschechien",,3,,"49.2015407,16.603619","Antonínská 548/1, 602 00 Brno-střed-Veveří, Czechia"
Université de Pau et des Pays de l'Adour,Frankreich,France,Europa,Europe,"Avenue de l'Université, 64012 Pau, Frankreich",,1,,"43.3113349,-0.3644866","Avenue de l'Université, 64000 Pau, France"
Universität Duisburg-Essen,Deutschland,Germany,Europa,Europe,"Forsthausweg 2, 47057 Duisburg, Deutschland",,2,,"51.42801679999999,6.8012263","Forsthausweg 2, 47057 Duisburg, Germany"
Universidade de Jaén,Spanien,Spain,Europa,Europe,"Campus Las Lagunillas, s/n, 23071 Jaén, Spanien",,1,,"37.7885415,-3.7776546","Campus Las Lagunillas, s/n, 23071 Jaén, Spain"
"Széchenyi István Universität, Györ",Ungarn,Hungary,Europa,Europe,"Győr, Egyetem tér 1, 9026 Ungarn",,1,,"47.6943519,17.6255607","Győr, Egyetem tér 1, 9026 Hungary"
Ernst Abbe Hochschule Jena,Deutschland,Germany,Europa,Europe,"Carl-Zeiß-Promenade 2, 07745 Jena, Deutschland",,1,,"50.91829,11.56868","Carl-Zeiß-Promenade 2, 07745 Jena, Germany"
Waterford Institute of Technology,Irland,Ireland,Europa,Europe,"Cork Rd, Waterford, Irland",,1,,"52.2463286,-7.143171499999999","Cork Rd, Waterford, Ireland"
Technological Educational Institue of Eastern Macedonia and Thrace,Griecheland,Greece,Europa,Europe,"Αγ. Λουκάς, Kavala 654 04, Griechenland",,1,,"40.92931859999999,24.3790305","Αγ. Λουκάς, Καβάλα 654 04, Greece"
University of Petrosani,Rumänien,Romania,Europa,Europe,"Petroșani, România, Universității, nr. 20",,1,,"45.4182389,23.3741403","Strada Universităţii 4, Petroșani, Romania"
AGH University of Science and Technology,Polen,Poland,Europa,Europe,"al. Mickiewicza 30, 30-059 Krakau, Polen",,1,,"50.0645191,19.9236397","aleja Adama Mickiewicza 30, 33-332 Kraków, Poland"
Mongolian University of Science and Technology,Mongolei,Mongolia,Asien,Asia,"Baga Toiruu 34, Sukhbaatar 14191, Mongolei",2,2,,"47.9220461,106.9243809","8, Baga Toiruu 34, Sukhbaatar 14191, Mongolia"
China Three Gorges University,China,China,Asien,Asia,"8 Daxue Rd, Xiling, Yichang, Hubei, China",1,1,,"30.715569,111.311667","8 Daxue Rd, Xiling Qu, Yichang Shi, Hubei Sheng, China, 443101"
National Research University Higher School of Economics,Russland,Russia,Asien,Asia,"Myasnitskaya Ulitsa, 20, Moscow, Russland, 101000",2,3,,"55.7615816,37.633323","Myasnitskaya Ulitsa, 20, Moskva, Russia, 101000"