Herkunftsland,Country of origin,Kontinent,Continent,Anzahl,,Geocoordinates,Elevation,Formatted Address
Afghanistan,Afghanistan,Asien,Asia,6,,"33.93911,67.709953",3775.133057,Afghanistan
Albanien,Albentia,Europa,Europe,20,,"41.153332,20.168331",155.9707184,Albania
Algerien,Albentia,Afrika,Africa,1,,"28.033886,1.659626",546.9978638,Algeria
Argentinien,Argentinia,Südamerika,South America,4,,"-38.416097,-63.61667199999999",113,Argentina
Armenien,Armenia,Asien,Asia,1,,"40.069099,45.038189",2768.314697,Armenia
Bangladesch,Bangladesh,Asien,Asia,2,,"23.684994,90.356331",6.184627533,Bangladesh
Belgien,Belgium,Europa,Europe,1,,"50.503887,4.469936",139.6228027,Belgium
Bolivien,Bolivia,Südamerika,South America,1,,"-16.290154,-63.58865299999999",204.024292,Bolivia
Bosnien-Herzegovina,Bosnia-Herzegovina,Europa,Europe,38,,"43.915886,17.679076",1732.136597,Bosnia and Herzegovina
Brasilien,Brazil,Südamerika,South America,2,,"-14.235004,-51.92528",259.0634766,Brazil
Bulgarien,Bulgaria,Europa,Europe,21,,"42.733883,25.48583",1113.163696,Bulgaria
Chile,Chile,Südamerika,South America,1,,"-35.675147,-71.542969",193.3970642,Chile
Taiwan,Taiwan,Asien,Asia,2,,"23.69781,120.960515",2798.068115,Taiwan
China,China,Asien,Asia,144,,"35.86166,104.195397",1841.234253,China
Elfenbeinküste,Ivory Coast,Afrika,Africa,1,,"7.539988999999999,-5.547079999999999",240.3309784,Côte d'Ivoire
Deutschland,Germany,Europa,Europe,209,,"51.165691,10.451526",204.9528198,Germany
Ecuador,Ecuador,Südamerika,South America,3,,"-1.831239,-78.18340599999999",1393.953857,Ecuador
El Salvador,El Salvador,Südamerika,South America,1,,"13.794185,-88.89653",632.3411865,El Salvador
Estland,Estonia,Europa,Europe,3,,"58.595272,25.0136071",30.26166916,Estonia
Finnland,Finland,Europa,Europe,1,,"61.92410999999999,25.7481511",174.1120911,Finland
Frankreich,France,Europa,Europe,7,,"46.227638,2.213749",423.1949463,France
Vereinigtes Königreich,United Kingdom,Europa,Europe,1,,"55.378051,-3.435973",371.4067078,United Kingdom
Georgien,Georgia,Asien,Asia,1,,"42.315407,43.35689199999999",510.9947205,Georgia
Ghana,Ghana,Afrika,Africa,2,,"7.946527,-1.023194",124.9958038,Ghana
Griechenland,Greece,Europa,Europe,5,,"39.074208,21.824312",890.4103394,Greece
Guatemala,Guatemala,Südamerika,South America,2,,"15.783471,-90.23075899999999",374.1132507,Guatemala
Honduras,Honduras,Südamerika,South America,1,,"15.199999,-86.241905",911.506897,Honduras
Indien,Indien,Asien,Asia,18,,"20.593684,78.96288",247.539856,India
Indonesien,Indonesia,Asien,Asia,1,,"-0.789275,113.921327",103.1747665,Indonesia
Irak,Iraq,Asien,Asia,4,,"33.223191,43.679291",72.66364288,Iraq
Iran,Iran,Asien,Asia,72,,"32.427908,53.688046",1139.552002,Iran
Irland,Ireland,Europa,Europe,4,,"53.1423672,-7.692053599999999",84.81829071,Ireland
Island,Iceland,Europa,Europe,1,,"64.963051,-19.020835",822,Iceland
Israel,Israel,Asien,Asia,5,,"31.046051,34.851612",462.0045471,Israel
Italien,Italy,Europa,Europe,37,,"41.87194,12.56738",39.45388031,Italy
Japan,Japan,Asien,Asia,1,,"36.204824,138.252924",996.756897,Japan
Jordanien,Jordan,Asien,Asia,1,,"30.585164,36.238414",912.0953979,Jordan
Kamerun,Cameroon,Afrika,Africa,1,,"7.369721999999999,12.354722",1328.560303,Cameroon
Kasachstan,Kazakhstan,Asien,Asia,5,,"48.019573,66.923684",476.7554932,Kazakhstan
Kenia,Kenya,Afrika,Africa,1,,"-0.023559,37.906193",822.9911499,Kenya
Kirgistan,Kyrgyzstan,Asien,Asia,1,,"41.20438,74.766098",2103.424316,Kyrgyzstan
Kolumbien,Colombia,Südamerika,South America,3,,"4.570868,-74.297333",2512.470215,Colombia
Südkorea,South Korea,Asien,Asia,2,,"35.907757,127.766922",561.034668,South Korea
Kosovo,Kosovo,Europa,Europe,3,,"42.6026359,20.902977",589.1018677,Kosovo
Kroatien,Croatia,Europa,Europe,29,,"45.1,15.2000001",896.6038818,Croatia
Lettland,Lativa,Europa,Europe,2,,"56.879635,24.603189",29.97242928,Latvia
Libanon,Lebanon,Asien,Asia,1,,"33.854721,35.862285",1186.648193,Lebanon
Libyen,Libya,Afrika,Africa,1,,"26.3351,17.228331",552.4244385,Libya
Luxemburg,Luxembourg,Europa,Europe,5,,"49.815273,6.129582999999999",307.6140747,Luxembourg
Marokko,Morocco,Afrika,Africa,3,,"31.791702,-7.092619999999999",731.87323,Morocco
Mazedonien,Macedonia,Europa,Europe,7,,"41.608635,21.745275",288.351532,North Macedonia
Mexiko,Mexico,Nordamerika,North America,5,,"23.634501,-102.552784",1976.763184,Mexico
Mongolei,Mongolia,Asien,Asia,4,,"46.862496,103.846656",1673.258423,Mongolia
Nepal,Nepal,Asien,Asia,1,,"28.394857,84.12400799999999",1962.321167,Nepal
Nigeria,Nigeria,Afrika,Africa,3,,"9.081999,8.675277",481.9515381,Nigeria
Oman,Oman,Asien,Asia,3,,"21.4735329,55.975413",53.90106201,Oman
Pakistan,Pakistan,Asien,Asia,4,,"30.375321,69.34511599999999",1376.795532,Pakistan
Palästina,Palestine,Asien,Asia,1,,"31.952162,35.233154",855.5371704,Palestine
Peru,Peru,Südamerika,South America,1,,"-9.189967,-75.015152",236.6261139,Peru
Philippinen,Philippines,Asien,Asia,2,,"12.879721,121.774017",-376.9819946,Philippines
Polen,Poland,Europa,Europe,28,,"51.919438,19.145136",138.0327454,Poland
Portugal,Portugal,Europa,Europe,2,,"39.39987199999999,-8.224454",167.0383453,Portugal
Rumänien,Romania,Europa,Europe,33,,"45.943161,24.96676",627.3574219,Romania
Russland,Russia,Asien,Asia,12,,"61.52401,105.318756",389.0949097,Russia
Schweden,Sweden,Europa,Europe,1,,"60.12816100000001,18.643501",13.02115822,Sweden
Schweiz,Switzerland,Europa,Europe,7,,"46.818188,8.227511999999999",1503.919556,Switzerland
Serbien,Serbia,Europa,Europe,31,,"44.016521,21.005859",365.3418274,Serbia
Simbabwe,Zimbabwe,Afrika,Africa,1,,"-19.015438,29.154857",1243.324097,Zimbabwe
Slowakei,Slovakia,Europa,Europe,16,,"48.669026,19.699024",990.7973022,Slovakia
Slowenien,Slovenia,Europa,Europe,5,,"46.151241,14.995463",335.8686829,Slovenia
Somalia,Somalia,Afrika,Africa,1,,"5.152149,46.199616",240.3608246,"Raas Cabaad, Somalia"
Spanien,Spain,Europa,Europe,8,,"40.46366700000001,-3.74922",594.1013794,Spain
Syrien,Syria,Asien,Asia,11,,"34.80207499999999,38.996815",445.2398376,Syria
Südafrika,South Africa,Afrika,Africa,2,,"-30.559482,22.937506",1110.384521,South Africa
Thailand,Thailand,Asien,Asia,3,,"15.870032,100.992541",92.6388855,Thailand
Togo,Togo,Afrika,Africa,1,,"8.619543,0.824782",481,Togo
Tschechien,Czech Republic,Europa,Europe,7,,"49.81749199999999,15.472962",375.4650574,Czechia
Tunesien,Tunisia,Afrika,Africa,5,,"33.886917,9.537499",46.17964172,Tunisia
Türkei,Turkes,Asien,Asia,63,,"38.963745,35.243322",1220.325195,Turkey
USA,United States,Nordamerika,North America,8,,"37.09024,-95.712891",257.4061584,United States
Ukraine,Ukraine,Europa,Europe,18,,"48.379433,31.1655799",198.0131226,Ukraine
Ungarn,Hungary,Europa,Europe,43,,"47.162494,19.5033041",129.3714294,Hungary
Venezuela,Venezuela,Südamerika,South America,3,,"6.42375,-66.58973",89.847435,Venezuela
Vietnam,Vietnam,Asien,Asia,1,,"14.058324,108.277199",732.5075684,Vietnam
Weißrussland,Belarus,Europa,Europe,3,,"53.709807,27.953389",192.8483734,Belarus
Zypern,Cyprus,Europa,Europe,1,,"35.126413,33.429859",135.888031,Cyprus
Ägypten,Egypt,Afrika,Africa,14,,"26.820553,30.802498",289.287384,Egypt
Äthiopien,Ethiopia,Afrika,Africa,1,,"9.145000000000001,40.489673",1355.773682,Ethiopia
Österreich,Austria,Europa,Europe,3512,,"47.516231,14.550072",1166.257324,Austria